2026-02-25T04:18:14Z | block=42601872 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001331207586104136 WETH | amount_in=0.507 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:30Z | block=42601880 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001567119427861214 WETH | amount_in=0.551 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:30Z | block=42601880 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001449553120442233 WETH | amount_in=0.538 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:18:30Z | block=42601880 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001419797593166247 WETH | amount_in=0.526 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:18:32Z | block=42601881 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001449543773798989 WETH | amount_in=0.538 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:18:40Z | block=42601885 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001567052857905403 WETH | amount_in=0.549 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:40Z | block=42601885 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001449734214698904 WETH | amount_in=0.536 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:18:40Z | block=42601885 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001419278318852126 WETH | amount_in=0.525 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:18:40Z | block=42601885 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001393323337201821 WETH | amount_in=0.499 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:19:29Z | block=42601909 | kind=Cross-dex | hops=V3CL→V2 | token=WETH | idx=2602 | profit=0.00050122968971981 WETH | amount_in=1.428 | p1=0xdbc6…30f1 | p2=0xcdac…5c43 | p3=0xdbc6…30f1
2026-02-25T04:19:30Z | block=42601909 | kind=Triangular | hops=V3CL→V2→V3CL | token=USDC | idx=4317 | profit=0.526997 USDC | amount_in=475.108 | p1=0x529d…017c | p2=0xb909…8b4a | p3=0x4e96…e778
2026-02-25T04:19:30Z | block=42601909 | kind=Triangular | hops=V3CL→V2→V3CL | token=USDC | idx=4318 | profit=0.514391 USDC | amount_in=461.86 | p1=0x529d…017c | p2=0xb909…8b4a | p3=0x3e66…a9fb
2026-02-25T04:19:52Z | block=42601921 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001341429269908089 WETH | amount_in=0.51 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:19:52Z | block=42601921 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001331474848726409 WETH | amount_in=0.503 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:19:56Z | block=42601923 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001340549556516675 WETH | amount_in=0.51 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:19:58Z | block=42601924 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001332093093900178 WETH | amount_in=0.508 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:00Z | block=42601925 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001331254344065179 WETH | amount_in=0.508 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:02Z | block=42601926 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001293561889949023 WETH | amount_in=0.505 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:02Z | block=42601926 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001301983708583065 WETH | amount_in=0.503 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:08Z | block=42601929 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001281974343357003 WETH | amount_in=0.498 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:10Z | block=42601930 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001281974861146728 WETH | amount_in=0.498 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:10Z | block=42601930 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001299160788448494 WETH | amount_in=0.499 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:12Z | block=42601931 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001393513337395989 WETH | amount_in=0.515 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:12Z | block=42601931 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001357928078500323 WETH | amount_in=0.515 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:14Z | block=42601932 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001518837690607971 WETH | amount_in=0.538 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:14Z | block=42601932 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001406747029226231 WETH | amount_in=0.521 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:14Z | block=42601932 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001392934314037491 WETH | amount_in=0.502 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:20Z | block=42601935 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001982635299069932 WETH | amount_in=0.615 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:20Z | block=42601935 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001858362183084344 WETH | amount_in=0.597 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:20Z | block=42601935 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001837896370588469 WETH | amount_in=0.567 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:20Z | block=42601935 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001717306812135462 WETH | amount_in=0.556 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:20Z | block=42601935 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001545815070567967 WETH | amount_in=0.55 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:20Z | block=42601935 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001430199044937441 WETH | amount_in=0.511 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:22Z | block=42601936 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001961036931780902 WETH | amount_in=0.611 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:22Z | block=42601936 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001818134252767932 WETH | amount_in=0.563 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:24Z | block=42601937 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001926010458801945 WETH | amount_in=0.607 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:24Z | block=42601937 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001869653765363067 WETH | amount_in=0.604 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:24Z | block=42601937 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001769393754616383 WETH | amount_in=0.563 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:24Z | block=42601937 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001559904514622641 WETH | amount_in=0.55 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:26Z | block=42601938 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002029614330538657 WETH | amount_in=0.622 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:27Z | block=42601938 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001938805099283795 WETH | amount_in=0.612 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:27Z | block=42601938 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001833209629373888 WETH | amount_in=0.567 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:27Z | block=42601938 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001746312070155442 WETH | amount_in=0.559 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:27Z | block=42601938 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001619883874470172 WETH | amount_in=0.562 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:27Z | block=42601938 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001456055553737371 WETH | amount_in=0.515 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:28Z | block=42601939 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002058427455028358 WETH | amount_in=0.622 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:28Z | block=42601939 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001938792954749278 WETH | amount_in=0.612 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:28Z | block=42601939 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001855541176022844 WETH | amount_in=0.575 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:28Z | block=42601939 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001746301327357387 WETH | amount_in=0.559 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:30Z | block=42601940 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001860761989904464 WETH | amount_in=0.578 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:30Z | block=42601940 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001752644671193265 WETH | amount_in=0.56 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:30Z | block=42601940 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001462235528509922 WETH | amount_in=0.515 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:32Z | block=42601941 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001840676758803465 WETH | amount_in=0.571 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:32Z | block=42601941 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001729817781886328 WETH | amount_in=0.559 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:32Z | block=42601941 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001441935124450896 WETH | amount_in=0.513 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:34Z | block=42601942 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001938809036394609 WETH | amount_in=0.612 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:34Z | block=42601942 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001846561150848142 WETH | amount_in=0.573 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:34Z | block=42601942 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001736697545052151 WETH | amount_in=0.559 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:34Z | block=42601942 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001447132450147882 WETH | amount_in=0.515 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:38Z | block=42601944 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002026729055947602 WETH | amount_in=0.622 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:38Z | block=42601944 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001821304581816578 WETH | amount_in=0.566 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:40Z | block=42601945 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001802820297566691 WETH | amount_in=0.563 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:40Z | block=42601945 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001721474209099004 WETH | amount_in=0.55 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:40Z | block=42601945 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.00143025345750337 WETH | amount_in=0.513 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:42Z | block=42601946 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001938821822970962 WETH | amount_in=0.612 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:42Z | block=42601946 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001801800111359162 WETH | amount_in=0.563 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:42Z | block=42601946 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001720458386353712 WETH | amount_in=0.55 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:42Z | block=42601946 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001432823264475133 WETH | amount_in=0.506 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:46Z | block=42601948 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001938991504644344 WETH | amount_in=0.612 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:46Z | block=42601948 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001720593645830986 WETH | amount_in=0.55 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:48Z | block=42601949 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002008601480285365 WETH | amount_in=0.622 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:48Z | block=42601949 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001787331517524197 WETH | amount_in=0.559 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:50Z | block=42601950 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002049096649234407 WETH | amount_in=0.622 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:50Z | block=42601950 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001822062694132924 WETH | amount_in=0.563 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:52Z | block=42601951 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002035758635249083 WETH | amount_in=0.622 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:52Z | block=42601951 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001925277284405227 WETH | amount_in=0.608 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:52Z | block=42601951 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001822299905859455 WETH | amount_in=0.567 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:52Z | block=42601951 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001606804172100207 WETH | amount_in=0.56 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:54Z | block=42601952 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002108803643600745 WETH | amount_in=0.631 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:54Z | block=42601952 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001925263554264757 WETH | amount_in=0.608 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:54Z | block=42601952 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001887213644608105 WETH | amount_in=0.578 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:54Z | block=42601952 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001655466691151759 WETH | amount_in=0.567 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:54Z | block=42601952 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001720581192484022 WETH | amount_in=0.55 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:54Z | block=42601952 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001475722083704285 WETH | amount_in=0.515 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:56Z | block=42601953 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002124541827916977 WETH | amount_in=0.636 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:56Z | block=42601953 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.00194188958206466 WETH | amount_in=0.609 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:56Z | block=42601953 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001927578934297167 WETH | amount_in=0.587 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:56Z | block=42601953 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001672757714609787 WETH | amount_in=0.565 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:56Z | block=42601953 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2088 | profit=0.001758853448836196 WETH | amount_in=0.559 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:57Z | block=42601953 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001513626919363447 WETH | amount_in=0.519 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:58Z | block=42601954 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.002109983803091429 WETH | amount_in=0.631 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:58Z | block=42601954 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001920738522397343 WETH | amount_in=0.612 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:20:58Z | block=42601954 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001932752656337216 WETH | amount_in=0.583 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:20:58Z | block=42601954 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001658669555014485 WETH | amount_in=0.563 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:20:58Z | block=42601954 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2090 | profit=0.001514765035521153 WETH | amount_in=0.523 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:21:02Z | block=42601956 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001920907589850509 WETH | amount_in=0.612 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
